checkpoint,routing_branch_scale,layer,mean_routed_l2,mean_scaled_routed_l2_over_residual_l2
Delta-AttnRes,1.5,2,0.6381843686103821,0.029151294380426407
Delta-AttnRes,1.5,3,0.852694034576416,0.031208520755171776
Delta-AttnRes,1.5,4,0.852694034576416,0.026394829154014587
Delta-AttnRes,1.5,5,0.7014500498771667,0.01783548854291439
Delta-AttnRes,1.5,6,0.852694034576416,0.018648281693458557
Delta-AttnRes,1.5,7,0.6737082600593567,0.01326808426529169
Delta-AttnRes,1.5,8,0.41335442662239075,0.007307350169867277
Delta-AttnRes,1.5,9,0.4378524720668793,0.00695066200569272
Delta-AttnRes,1.5,10,0.49282172322273254,0.006850238423794508
Delta-AttnRes,1.5,11,3.8978731632232666,0.04303627088665962
Delta-AttnRes,1.5,12,0.5086351037025452,0.005459248553961515
Delta-AttnRes,1.5,13,0.5529929399490356,0.0055480594746768475
Delta-AttnRes,1.5,14,5.361230373382568,0.051003601402044296
Delta-AttnRes,1.5,15,10.261957168579102,0.09462699294090271
Delta-AttnRes,1.5,16,38.263328552246094,0.30389404296875
Delta-AttnRes,1.5,17,26.925079345703125,0.1771976351737976
Delta-AttnRes,1.5,18,50.78213119506836,0.2990509271621704
Delta-AttnRes,1.5,19,70.45928955078125,0.3307174742221832
Delta-AttnRes,1.5,20,74.63227844238281,0.2838195562362671
Delta-AttnRes,1.5,21,106.94622039794922,0.3265972435474396
Delta-AttnRes,1.5,22,62.366546630859375,0.16262876987457275
Delta-AttnRes,1.5,23,34.29228973388672,0.07526332885026932
Delta-AttnRes,1.5,24,43.27899932861328,0.08194863796234131
Delta-AttnRes,1.5,25,62.928619384765625,0.10626105964183807
Delta-AttnRes,1.5,26,27.36005210876465,0.03636405989527702
Delta-AttnRes,1.5,27,3.1247408390045166,0.0030015071388334036
Delta-AttnRes,2.0,0,0.6898993253707886,0.7142342925071716
Delta-AttnRes,2.0,1,0.6762807965278625,0.06611919403076172
Delta-AttnRes,2.0,2,0.6381843686103821,0.04364246875047684
Delta-AttnRes,2.0,3,0.852694034576416,0.0468548908829689
Delta-AttnRes,2.0,4,0.852694034576416,0.039520181715488434
Delta-AttnRes,2.0,5,0.7014500498771667,0.02648632787168026
Delta-AttnRes,2.0,6,0.852694034576416,0.027414048090577126
Delta-AttnRes,2.0,7,0.6737082004547119,0.019339345395565033
Delta-AttnRes,2.0,8,0.41335412859916687,0.010545991361141205
Delta-AttnRes,2.0,9,0.43785157799720764,0.009966179728507996
Delta-AttnRes,2.0,10,0.4927457273006439,0.009736252948641777
Delta-AttnRes,2.0,11,3.5564277172088623,0.05442151054739952
Delta-AttnRes,2.0,12,0.5086347460746765,0.007649372797459364
Delta-AttnRes,2.0,13,0.5529794692993164,0.007751555647701025
Delta-AttnRes,2.0,14,4.7809672355651855,0.06315049529075623
Delta-AttnRes,2.0,15,9.139835357666016,0.11727844923734665
Delta-AttnRes,2.0,16,35.393795013427734,0.3893373906612396
Delta-AttnRes,2.0,17,25.648311614990234,0.2325115203857422
Delta-AttnRes,2.0,18,47.5076789855957,0.38418880105018616
Delta-AttnRes,2.0,19,65.62946319580078,0.419281005859375
Delta-AttnRes,2.0,20,69.35775756835938,0.35737231373786926
Delta-AttnRes,2.0,21,99.22090148925781,0.4089975953102112
Delta-AttnRes,2.0,22,58.61449432373047,0.20528627932071686
Delta-AttnRes,2.0,23,32.977230072021484,0.09687229245901108
Delta-AttnRes,2.0,24,40.67839050292969,0.10251069068908691
Delta-AttnRes,2.0,25,59.967796325683594,0.13513502478599548
Delta-AttnRes,2.0,26,27.099815368652344,0.04789585992693901
Delta-AttnRes,2.0,27,3.1074767112731934,0.003972842823714018
